cluster,keyword,intencion,pagina_objetivo,prioridad,alcance,tipo,estado,observaciones
Aerotermia,aerotermia Madrid,transaccional,/aerotermia,alta,Comunidad de Madrid,pagina_pilar,objetivo,Reforzar servicio proceso experiencia y CTA
Aerotermia,instalación aerotermia Madrid,transaccional,/aerotermia,alta,Comunidad de Madrid,pagina_pilar,objetivo,Sin crear páginas municipales duplicadas
Aerotermia,empresa aerotermia Madrid,comercial,/aerotermia,alta,Comunidad de Madrid,pagina_pilar,objetivo,Apoyar con credenciales y casos reales
Aerotermia,aerotermia Sierra de Madrid,comercial,/blog/aerotermia-sierra-de-madrid-guia-chalets,alta,Sierra de Madrid,articulo,calendarizado,Guía local única y sustancial
Aerotermia,precio aerotermia Madrid 2026,comercial,/blog/precio-aerotermia-madrid-2026,alta,Comunidad de Madrid,articulo,calendarizado,Usar rangos solo con presupuestos reales validados
Aerotermia,aerotermia con radiadores,comercial,/blog/aerotermia-con-radiadores,alta,España,articulo,calendarizado,Diferenciar radiador convencional y baja temperatura
Aerotermia,aerotermia vs gas natural,comercial,/blog/aerotermia-vs-gas-natural-madrid,alta,Comunidad de Madrid,articulo,calendarizado,Comparación sin promesas universales
Aerotermia,cambiar caldera gasoil por aerotermia,comercial,/blog/cambiar-caldera-gasoil-por-aerotermia,alta,España,articulo,calendarizado,Alta afinidad con chalets
Aerotermia,potencia aerotermia vivienda,informacional,/blog/como-calcular-potencia-aerotermia-vivienda,alta,España,articulo,calendarizado,Explicar cálculo de cargas y límites de reglas por m2
Aerotermia,mantenimiento aerotermia,informacional,/blog/mantenimiento-aerotermia-revisiones,media,España,articulo,calendarizado,CTA de revisión técnica
Aerotermia,aerotermia piso sin unidad exterior,comercial,/blog/ben-dual-air-aerotermia-sin-unidad-exterior,alta,España,articulo,publicado,No crear otro artículo con la misma intención
Aerotermia,BEN Dual-Air,navegacional,/catalogo/ben-dual-air,alta,España,producto,objetivo,Producto específico
