id,fecha,status,tipo_contenido,prioridad,titulo,keyword_principal,intencion,zona,cluster,slug,pagina_pilar,formato_social,gancho_social,fuente_idea,referencia_fuente,referencia_social,enlaces_internos,revision_requerida,notas,fecha_publicacion,url
mac-seo-2026-001,2026-08-18,publicado,articulo,alta,"Precio de instalar aerotermia en Madrid en 2026: qué incluye un presupuesto","precio aerotermia Madrid 2026",comercial,"Comunidad de Madrid",Aerotermia,precio-aerotermia-madrid-2026,/aerotermia,"carrusel + reel corto","El precio de la máquina no es el precio de la instalación",investigacion-serp-y-dudas-clientes,presupuestos-y-fichas-tecnicas-maclima,"","/aerotermia;/consultoria-gratuita;/blog/ayudas-aerotermia-madrid-2026",tecnica-y-comercial,"Publicado sin rangos de precio no validados",2026-08-17,https://maclimasolucionesenergeticas.com/blog/precio-aerotermia-madrid-2026
mac-seo-2026-002,2026-08-21,publicado,articulo,alta,"Aerotermia con radiadores: cuándo funciona y qué revisar antes de cambiar la caldera","aerotermia con radiadores",comercial,España,Aerotermia,aerotermia-con-radiadores,/aerotermia,"carrusel comparativo","Sí puede funcionar con radiadores pero no en todos los casos",dudas-clientes,https://www.madrid.es/go/oficinaverde,"","/aerotermia;/consultoria-gratuita;/catalogo",tecnica,"Diferencia radiadores convencionales y baja temperatura con fuentes técnicas",2026-08-17,https://maclimasolucionesenergeticas.com/blog/aerotermia-con-radiadores
mac-seo-2026-003,2026-08-25,publicado,articulo,alta,"¿Cuántas placas solares necesita una vivienda? Cómo hacer un cálculo orientativo","cuántas placas solares necesito",informacional,España,Fotovoltaica,cuantas-placas-solares-necesita-una-vivienda,/fotovoltaica,"carrusel educativo","Los metros cuadrados no bastan para calcular tus placas",dudas-clientes,https://www.idae.es,"","/fotovoltaica;/consultoria-gratuita;/catalogo#fotovoltaica-catalogo",tecnica,"Revisión técnica completada con fuentes IDAE CNMC y PVGIS; cálculo orientativo sin cifras comerciales ni promesas",2026-08-26,https://maclimasolucionesenergeticas.com/blog/cuantas-placas-solares-necesita-una-vivienda
mac-seo-2026-004,2026-08-28,publicado,articulo,alta,"¿Merece la pena instalar una batería solar? Casos en los que sí y en los que no","merece la pena batería solar",comercial,España,Fotovoltaica,merece-la-pena-una-bateria-solar,/fotovoltaica,"reel + carrusel de decisión","No todas las viviendas con placas necesitan batería",investigacion-serp-y-dudas-clientes,https://www.idae.es,"","/fotovoltaica;/consultoria-gratuita;/catalogo#fotovoltaica-catalogo",tecnica-y-comercial,"Revisión técnica y comercial completada con fuentes IDAE y MITECO; decisión segmentada por perfil horario, excedentes y respaldo, sin ahorros ni amortización inventados",2026-08-28,https://maclimasolucionesenergeticas.com/blog/merece-la-pena-una-bateria-solar
mac-seo-2026-005,2026-09-01,publicado,articulo,alta,"Aerotermia o gas natural: qué conviene valorar en una vivienda de Madrid","aerotermia vs gas natural",comercial,"Comunidad de Madrid",Aerotermia,aerotermia-vs-gas-natural-madrid,/aerotermia,"carrusel comparativo","La respuesta cambia según vivienda emisores y uso",investigacion-serp,https://www.idae.es,"","/aerotermia;/consultoria-gratuita;/blog/precio-aerotermia-madrid-2026",tecnica,"Revisión técnica completada con fuentes IDAE, MITECO, CNMC y Comunidad de Madrid; comparación por condiciones reales, sin porcentajes universales de ahorro",2026-09-01,https://maclimasolucionesenergeticas.com/blog/aerotermia-vs-gas-natural-madrid
mac-seo-2026-006,2026-09-04,publicado,articulo,alta,"Suelo radiante o fancoils con aerotermia: diferencias de confort instalación y uso","suelo radiante o fancoils con aerotermia",comercial,España,Emisores,suelo-radiante-o-fancoils-con-aerotermia,/aerotermia,"carrusel comparativo","Dos buenos emisores para necesidades muy distintas",dudas-clientes,https://www.idae.es,"","/aerotermia;/consultoria-gratuita;/blog/aerotermia-con-radiadores",tecnica,"Revisión técnica completada con fuentes RITE (BOE), IDAE, Daikin y Vaillant; publicado sin imagen de portada porque el repositorio no tiene generador propio",2026-09-04,https://maclimasolucionesenergeticas.com/blog/suelo-radiante-o-fancoils-con-aerotermia
mac-seo-2026-007,2026-09-08,pendiente,articulo,alta,"Precio de placas solares en Madrid en 2026: equipos instalación y legalización","precio placas solares Madrid 2026",comercial,"Comunidad de Madrid",Fotovoltaica,precio-placas-solares-madrid-2026,/fotovoltaica,"carrusel + reel corto","Un presupuesto solar es mucho más que contar paneles",investigacion-serp,presupuestos-y-fichas-tecnicas-maclima,"","/fotovoltaica;/consultoria-gratuita;/blog/cuantas-placas-solares-necesita-una-vivienda",tecnica-y-comercial,"No publicar precios sin validación de Maclima",,""
mac-seo-2026-008,2026-09-11,pendiente,articulo,alta,"Compensación de excedentes o batería virtual: cómo elegir para tu autoconsumo","compensación excedentes o batería virtual",comercial,España,Fotovoltaica,compensacion-excedentes-o-bateria-virtual,/fotovoltaica,"carrusel de decisión","No es lo mismo guardar energía que guardar saldo",dudas-clientes,https://www.idae.es,"","/fotovoltaica;/consultoria-gratuita;/blog/merece-la-pena-una-bateria-solar",tecnica-y-tarifaria,"Verificar condiciones de comercializadoras el día de revisión",,""
mac-seo-2026-009,2026-09-15,pendiente,articulo,alta,"Cómo calcular la potencia de aerotermia que necesita una vivienda","potencia aerotermia vivienda",informacional,España,Aerotermia,como-calcular-potencia-aerotermia-vivienda,/aerotermia,"carrusel educativo","Elegir la potencia solo por metros cuadrados puede salir caro",dudas-clientes,https://www.idae.es,"","/aerotermia;/consultoria-gratuita;/blog/aerotermia-con-radiadores",tecnica,"Explicar cargas térmicas sin ofrecer una calculadora engañosa",,""
mac-seo-2026-010,2026-09-18,pendiente,articulo,alta,"Aerotermia y placas solares: cómo combinar climatización y autoconsumo","aerotermia y placas solares",comercial,España,Integración,aerotermia-y-placas-solares,/aerotermia,"reel explicativo + carrusel","Producir electricidad no elimina la necesidad de dimensionar bien",dudas-clientes,https://www.idae.es,"","/aerotermia;/fotovoltaica;/consultoria-gratuita",tecnica,"Mostrar perfiles horarios y límites sin prometer factura cero",,""
